Number_of_people,Average_Age,Total_Income,Occupation,Lifestyle,House_Size,Presence_of_garden,Number_of_bathrooms,Dishwasher_usage,Washing_machine_usage,Swimming_pool,Water_storage,Water_footprint
1,29,149450,Retired,Minimalist,2606,No,1,Never,Rarely,Yes,Well,3152
1,57,139433,Salaried,Average,1469,Yes,2,Rarely,Weekly,Yes,Direct Supply,8799
4,7,125309,Student,Minimalist,2972,Yes,4,Rarely,Weekly,Yes,Tank,12949
2,3,68021,Salaried,Average,2688,No,3,Never,Rarely,No,Tank,2037
7,44,133664,Student,Luxury,2331,No,2,Rarely,Daily,No,Direct Supply,9101
1,60,116873,Salaried,Minimalist,2289,No,1,Never,Never,No,Well,5611
6,61,105414,Retired,Average,2059,No,1,Daily,Never,No,Direct Supply,14091
4,50,179429,Salaried,Average,1874,Yes,3,Never,Weekly,Yes,Direct Supply,10219
2,43,54358,Student,Minimalist,623,No,1,Never,Weekly,No,Tank,2221
6,17,186603,Retired,Average,2589,No,1,Rarely,Daily,No,Tank,9338
5,36,162365,Student,Minimalist,2957,No,3,Daily,Never,No,Tank,8980
5,51,74384,Student,Minimalist,1298,No,3,Weekly,Daily,No,Tank,10659
5,8,70972,Salaried,Average,2752,Yes,4,Rarely,Rarely,Yes,Well,14958
4,35,34910,Retired,Average,1105,Yes,3,Rarely,Daily,Yes,Tank,8835
3,43,168379,Salaried,Average,685,Yes,1,Rarely,Daily,Yes,Tank,10794
1,10,183592,Salaried,Luxury,813,No,3,Weekly,Rarely,No,Direct Supply,2498
4,15,99132,Business,Minimalist,1829,Yes,1,Daily,Weekly,Yes,Direct Supply,6899
1,61,102868,Salaried,Luxury,2080,No,4,Never,Weekly,Yes,Direct Supply,6170
3,24,172476,Student,Average,1002,No,2,Rarely,Rarely,Yes,Well,14950
1,73,140033,Retired,Average,2417,Yes,2,Rarely,Never,No,Tank,7928
6,53,149186,Student,Luxury,623,Yes,3,Never,Rarely,No,Tank,2346
7,63,109343,Student,Minimalist,2422,Yes,1,Weekly,Daily,Yes,Direct Supply,6837
1,74,20751,Student,Luxury,1923,Yes,3,Daily,Rarely,No,Well,10232
7,57,119088,Student,Minimalist,1214,No,2,Never,Daily,No,Well,14407
1,43,124939,Retired,Average,2441,No,4,Weekly,Weekly,Yes,Direct Supply,3314
5,57,182123,Salaried,Average,564,No,1,Daily,Weekly,Yes,Direct Supply,10707
1,19,37457,Retired,Average,731,Yes,4,Rarely,Weekly,Yes,Tank,13056
3,29,197001,Business,Minimalist,849,Yes,3,Never,Weekly,Yes,Well,3729
4,22,61143,Salaried,Luxury,2879,Yes,1,Weekly,Never,No,Well,7692
5,72,130692,Retired,Minimalist,1425,Yes,2,Weekly,Daily,Yes,Well,4574
7,29,199617,Salaried,Average,2884,Yes,1,Rarely,Never,Yes,Tank,6487
3,36,170091,Student,Luxury,2128,No,3,Rarely,Weekly,Yes,Well,11539
5,39,77447,Business,Minimalist,702,Yes,3,Daily,Weekly,No,Tank,9255
4,7,112629,Student,Minimalist,1799,No,1,Rarely,Never,Yes,Well,3491
3,38,32183,Student,Minimalist,1234,No,4,Daily,Never,Yes,Tank,9747
2,43,145152,Student,Luxury,2598,No,1,Daily,Weekly,Yes,Direct Supply,12650
1,73,92685,Student,Minimalist,2365,No,2,Rarely,Weekly,Yes,Direct Supply,14777
3,76,56909,Business,Minimalist,796,Yes,3,Never,Weekly,No,Tank,5935
4,46,38172,Retired,Average,1597,No,1,Weekly,Weekly,No,Well,14686
3,26,79229,Retired,Average,2857,Yes,1,Rarely,Daily,Yes,Tank,4992
5,14,178621,Salaried,Average,992,No,4,Weekly,Weekly,Yes,Direct Supply,6790
6,31,34042,Retired,Minimalist,1480,No,1,Weekly,Never,No,Tank,3100
4,61,120226,Business,Average,2165,No,1,Daily,Weekly,No,Direct Supply,13030
4,6,38538,Student,Average,2451,Yes,1,Daily,Never,Yes,Direct Supply,5480
7,31,69422,Student,Average,850,Yes,2,Rarely,Daily,Yes,Well,11605
2,38,139804,Retired,Average,2985,Yes,3,Never,Weekly,No,Tank,2586
5,12,189978,Student,Minimalist,1273,No,1,Daily,Weekly,Yes,Well,3581
5,25,83780,Retired,Average,583,No,2,Never,Daily,Yes,Tank,3071
5,34,57193,Retired,Luxury,2365,Yes,1,Rarely,Weekly,No,Well,6116
2,60,129179,Retired,Luxury,1332,Yes,1,Daily,Rarely,No,Tank,14200
1,9,196845,Salaried,Minimalist,1399,No,2,Weekly,Weekly,No,Tank,8744
2,60,181287,Student,Luxury,2698,No,1,Rarely,Never,No,Tank,8753
1,69,45744,Student,Luxury,2104,Yes,1,Weekly,Daily,No,Tank,4032
3,66,163704,Business,Minimalist,2708,No,2,Rarely,Weekly,No,Direct Supply,5979
2,39,37285,Student,Average,890,Yes,3,Rarely,Weekly,No,Direct Supply,9813
1,26,86151,Student,Luxury,670,Yes,4,Rarely,Weekly,Yes,Direct Supply,14159
6,18,86916,Business,Luxury,2992,Yes,4,Weekly,Daily,Yes,Tank,9151
7,61,128672,Student,Average,2177,Yes,4,Never,Never,Yes,Tank,10262
3,79,101244,Student,Luxury,2618,No,2,Daily,Never,Yes,Tank,11170
2,64,28019,Student,Minimalist,2211,Yes,1,Daily,Never,Yes,Tank,14256
4,33,131059,Student,Minimalist,2302,Yes,1,Rarely,Weekly,No,Direct Supply,9513
7,65,87892,Salaried,Luxury,1930,Yes,3,Never,Never,Yes,Well,10929
7,75,168236,Salaried,Luxury,2810,No,2,Rarely,Weekly,Yes,Direct Supply,5172
5,15,144592,Student,Luxury,1740,No,4,Daily,Rarely,Yes,Well,10302
2,63,89442,Business,Luxury,589,Yes,1,Weekly,Rarely,Yes,Well,10940
7,8,98987,Student,Average,2766,Yes,1,Never,Weekly,Yes,Direct Supply,11257
5,76,176777,Student,Average,2181,No,1,Daily,Daily,No,Tank,4807
5,24,169228,Salaried,Average,528,No,4,Rarely,Rarely,No,Well,3311
1,14,163105,Salaried,Average,1219,No,1,Rarely,Never,No,Well,14537
6,44,94928,Salaried,Minimalist,2464,Yes,1,Rarely,Rarely,No,Well,9991
1,45,163853,Student,Luxury,1320,No,3,Rarely,Never,Yes,Tank,6475
6,55,189523,Retired,Average,2607,No,1,Daily,Rarely,Yes,Direct Supply,2706
2,52,53279,Student,Minimalist,972,No,3,Weekly,Never,No,Direct Supply,10905
5,80,144877,Retired,Minimalist,884,No,4,Rarely,Rarely,Yes,Tank,11272
2,9,92796,Student,Average,1009,No,4,Daily,Daily,Yes,Direct Supply,11413
3,62,57436,Retired,Luxury,1592,No,2,Weekly,Rarely,Yes,Well,6998
7,48,147374,Retired,Average,2317,Yes,1,Never,Daily,Yes,Tank,11741
3,73,27326,Business,Luxury,1102,No,3,Rarely,Weekly,No,Direct Supply,11186
5,68,186340,Business,Luxury,906,No,4,Weekly,Never,No,Well,12334
4,14,140651,Salaried,Minimalist,1032,No,4,Weekly,Daily,No,Well,8441
2,58,160032,Retired,Average,1262,Yes,1,Never,Never,Yes,Tank,8249
4,14,136093,Salaried,Luxury,2535,Yes,1,Weekly,Rarely,Yes,Tank,13045
5,70,29846,Salaried,Average,2082,No,2,Never,Weekly,Yes,Tank,8234
1,16,115498,Retired,Minimalist,2700,No,2,Daily,Weekly,Yes,Direct Supply,13816
7,18,56278,Salaried,Luxury,988,Yes,4,Weekly,Daily,No,Direct Supply,6679
3,14,65052,Student,Minimalist,2347,Yes,4,Never,Weekly,Yes,Well,12937
4,68,126066,Salaried,Luxury,532,Yes,2,Weekly,Weekly,No,Tank,6557
6,18,157546,Salaried,Average,1429,No,3,Never,Never,No,Well,3262
5,39,180359,Business,Luxury,2836,Yes,4,Weekly,Daily,No,Well,9371
2,80,173967,Student,Minimalist,1471,Yes,2,Daily,Weekly,No,Well,11201
2,23,182372,Student,Luxury,1267,Yes,2,Daily,Weekly,No,Well,6486
2,1,99132,Retired,Luxury,2885,No,2,Never,Rarely,No,Well,13900
4,54,102075,Business,Luxury,1441,No,3,Rarely,Rarely,No,Well,6919
2,26,33038,Retired,Luxury,2609,Yes,4,Never,Rarely,No,Well,11639
1,40,113296,Retired,Average,914,Yes,3,Daily,Never,No,Tank,11099
7,28,104108,Business,Minimalist,1141,Yes,3,Rarely,Rarely,No,Tank,2264
1,37,178251,Student,Luxury,893,No,1,Never,Daily,Yes,Tank,4119
7,26,135733,Student,Luxury,636,Yes,1,Never,Rarely,No,Well,5875
3,46,69168,Retired,Minimalist,2641,Yes,2,Daily,Daily,No,Tank,11605
4,37,62228,Salaried,Minimalist,2116,No,1,Rarely,Rarely,Yes,Well,2801
6,6,184275,Salaried,Average,2154,No,1,Rarely,Daily,Yes,Direct Supply,12849
2,65,30576,Student,Minimalist,607,Yes,1,Daily,Rarely,Yes,Tank,12921
7,29,51692,Student,Average,1983,Yes,4,Never,Daily,No,Direct Supply,13410
1,78,120907,Business,Minimalist,2149,No,1,Rarely,Weekly,Yes,Tank,2747
7,39,156890,Student,Minimalist,2167,Yes,1,Weekly,Never,Yes,Well,11995
5,18,121136,Business,Luxury,1400,No,3,Rarely,Never,Yes,Direct Supply,11152
3,51,76283,Salaried,Luxury,1733,Yes,4,Rarely,Daily,Yes,Direct Supply,8598
4,4,139179,Student,Minimalist,1223,No,3,Rarely,Rarely,Yes,Tank,6922
1,48,31942,Business,Minimalist,2833,Yes,2,Never,Rarely,Yes,Tank,4300
1,73,156171,Business,Luxury,1708,No,2,Weekly,Rarely,Yes,Tank,10595
3,22,72362,Student,Luxury,627,No,2,Weekly,Weekly,Yes,Well,2919
1,47,97052,Retired,Average,797,No,2,Daily,Weekly,Yes,Well,13297
5,49,36173,Business,Luxury,1418,Yes,4,Daily,Rarely,Yes,Well,4522
1,80,86229,Retired,Minimalist,939,No,2,Never,Daily,Yes,Well,3666
7,26,42511,Salaried,Minimalist,2914,No,3,Rarely,Weekly,No,Tank,6791
1,13,198851,Student,Average,1838,No,2,Weekly,Weekly,No,Direct Supply,13770
7,37,123117,Salaried,Average,633,Yes,1,Never,Rarely,Yes,Direct Supply,9621
7,80,197827,Retired,Average,1650,No,4,Daily,Never,No,Tank,12859
6,32,65351,Business,Average,1433,No,3,Weekly,Daily,No,Tank,11446
3,43,44045,Student,Luxury,2871,No,1,Never,Never,No,Direct Supply,7482
6,3,181377,Business,Average,2647,Yes,3,Rarely,Never,Yes,Tank,9735
7,4,93288,Retired,Luxury,1584,No,4,Daily,Weekly,Yes,Well,10535
1,72,180052,Salaried,Average,1462,No,1,Weekly,Rarely,Yes,Well,11923
2,62,34414,Student,Average,2133,No,2,Daily,Rarely,No,Well,7057
7,57,186709,Salaried,Minimalist,2411,Yes,1,Daily,Rarely,No,Well,7707
7,6,107510,Business,Minimalist,2384,No,1,Never,Rarely,No,Direct Supply,9004
7,80,95622,Salaried,Minimalist,1876,Yes,1,Daily,Never,No,Tank,6076
6,14,74103,Student,Average,2116,Yes,1,Never,Weekly,No,Direct Supply,2158
3,36,143914,Student,Average,1904,No,4,Rarely,Rarely,No,Tank,10324
3,40,42386,Business,Average,1009,Yes,4,Weekly,Daily,Yes,Tank,12960
6,54,111428,Retired,Luxury,2089,Yes,4,Never,Rarely,No,Tank,3409
6,70,21644,Retired,Luxury,2059,Yes,4,Daily,Daily,No,Tank,6651
5,75,176024,Student,Minimalist,2146,Yes,3,Never,Never,No,Tank,2219
3,5,133431,Student,Luxury,1373,Yes,2,Weekly,Never,No,Well,13460
7,67,73978,Retired,Average,2709,Yes,4,Rarely,Weekly,No,Well,8335
7,54,196387,Business,Minimalist,1499,No,3,Rarely,Never,Yes,Well,12874
1,51,41748,Retired,Minimalist,2638,Yes,3,Daily,Daily,Yes,Direct Supply,10835
4,50,171041,Salaried,Minimalist,1608,No,4,Daily,Never,Yes,Well,10108
1,71,129029,Retired,Average,2846,Yes,2,Daily,Weekly,No,Direct Supply,9003
1,60,78837,Retired,Minimalist,2600,No,2,Daily,Daily,Yes,Well,6013
5,77,176358,Student,Luxury,1972,Yes,1,Weekly,Never,No,Well,11347
2,52,101554,Business,Luxury,2973,Yes,2,Never,Weekly,Yes,Tank,2338
2,13,195930,Student,Luxury,1776,No,1,Rarely,Rarely,Yes,Well,13875
7,27,61783,Business,Luxury,2007,No,1,Weekly,Never,Yes,Well,14737
5,1,198211,Business,Minimalist,2533,Yes,2,Weekly,Daily,Yes,Tank,4746
5,66,175400,Retired,Average,670,No,4,Rarely,Never,Yes,Well,9343
6,60,160173,Retired,Average,2276,No,4,Rarely,Daily,No,Well,7039
5,53,26883,Retired,Luxury,1868,No,4,Weekly,Daily,Yes,Tank,3791
6,48,57153,Retired,Luxury,2971,No,4,Never,Rarely,Yes,Direct Supply,5178
4,43,182490,Business,Minimalist,1336,Yes,3,Rarely,Never,No,Well,13895
7,63,50816,Retired,Minimalist,1259,Yes,3,Never,Daily,No,Well,10977
1,79,91237,Retired,Average,581,Yes,3,Never,Never,Yes,Well,4645
4,18,31124,Retired,Minimalist,2746,Yes,1,Daily,Rarely,Yes,Well,12576
3,42,81356,Business,Average,1039,No,2,Daily,Weekly,No,Tank,12240
5,65,76472,Salaried,Average,2148,No,1,Weekly,Rarely,No,Tank,14633
3,70,137006,Student,Luxury,1867,Yes,4,Rarely,Weekly,Yes,Well,14775
6,37,106070,Business,Luxury,2476,No,2,Daily,Rarely,Yes,Tank,5134
7,57,31112,Salaried,Minimalist,1373,No,1,Never,Weekly,Yes,Tank,6756
4,2,138405,Salaried,Average,2420,Yes,2,Daily,Weekly,Yes,Tank,12395
1,5,136046,Business,Luxury,1316,No,1,Rarely,Rarely,No,Well,14217
7,14,69359,Retired,Luxury,2198,Yes,3,Rarely,Rarely,Yes,Well,2315
4,42,148822,Student,Minimalist,1131,Yes,4,Never,Rarely,Yes,Tank,7665
4,74,98798,Retired,Average,1873,Yes,2,Daily,Never,Yes,Tank,4190
7,34,48635,Student,Average,2824,Yes,4,Daily,Daily,Yes,Tank,12722
4,27,131343,Salaried,Minimalist,1642,No,3,Never,Daily,Yes,Direct Supply,2504
6,75,104319,Retired,Average,936,Yes,2,Daily,Daily,Yes,Tank,7878
3,75,177446,Student,Luxury,2902,Yes,2,Rarely,Weekly,No,Well,8194
7,55,187922,Student,Luxury,1171,Yes,3,Weekly,Rarely,No,Tank,4078
5,47,152869,Business,Minimalist,833,No,2,Never,Rarely,Yes,Direct Supply,8382
2,47,181513,Salaried,Average,789,Yes,1,Daily,Daily,No,Tank,6968
6,44,100504,Student,Luxury,632,Yes,4,Daily,Daily,Yes,Well,12196
6,46,198453,Business,Minimalist,2404,Yes,1,Weekly,Weekly,No,Direct Supply,6481
3,58,131104,Retired,Average,1552,No,4,Rarely,Never,Yes,Direct Supply,13459
5,7,100816,Business,Average,2735,No,4,Weekly,Rarely,Yes,Tank,7930
1,2,181313,Student,Average,501,No,4,Daily,Rarely,Yes,Well,12286
1,77,100762,Salaried,Minimalist,2208,No,3,Never,Never,No,Direct Supply,12681
1,62,128933,Salaried,Minimalist,2290,No,1,Weekly,Weekly,No,Tank,10867
4,39,116346,Business,Average,2904,Yes,2,Rarely,Daily,No,Well,7905
1,74,28875,Business,Luxury,2229,No,1,Never,Never,No,Tank,6302
6,73,192352,Student,Average,2321,No,4,Daily,Weekly,Yes,Tank,7944
6,73,128617,Student,Average,705,No,2,Weekly,Never,No,Well,2920
4,73,168683,Retired,Minimalist,638,Yes,4,Never,Weekly,Yes,Tank,3367
4,2,143830,Student,Average,689,No,2,Daily,Rarely,No,Direct Supply,6470
3,26,24761,Student,Luxury,2652,No,1,Daily,Weekly,No,Direct Supply,14028
4,2,189669,Student,Luxury,2146,Yes,3,Daily,Never,Yes,Tank,2288
7,48,68838,Retired,Minimalist,2156,No,4,Never,Daily,Yes,Tank,14351
1,61,32998,Salaried,Luxury,599,Yes,4,Weekly,Never,Yes,Direct Supply,9887
2,8,165168,Salaried,Luxury,915,Yes,1,Weekly,Weekly,Yes,Direct Supply,10383
6,19,179121,Business,Luxury,1180,No,1,Weekly,Rarely,Yes,Well,9527
3,23,154738,Business,Luxury,1390,Yes,1,Weekly,Weekly,Yes,Tank,5918
7,40,180787,Retired,Average,2031,Yes,1,Daily,Never,No,Direct Supply,11112
4,53,83079,Retired,Average,1960,Yes,3,Weekly,Weekly,Yes,Direct Supply,11158
1,43,198191,Student,Average,2991,Yes,1,Weekly,Weekly,Yes,Tank,14322
7,51,105949,Student,Average,2597,No,4,Never,Never,No,Tank,12805
4,38,107587,Retired,Luxury,1875,No,3,Rarely,Daily,Yes,Direct Supply,10626
7,44,173868,Business,Minimalist,1763,Yes,2,Weekly,Never,No,Tank,8685
4,75,44404,Business,Average,2471,Yes,1,Never,Rarely,No,Well,7499
3,31,191884,Student,Average,794,No,1,Weekly,Weekly,No,Direct Supply,7221
6,50,128361,Student,Minimalist,2964,No,3,Never,Daily,No,Direct Supply,6498
7,77,54078,Student,Average,732,Yes,3,Never,Rarely,Yes,Direct Supply,11149
1,47,110107,Student,Minimalist,1596,Yes,4,Rarely,Weekly,No,Tank,3009
6,74,102177,Salaried,Luxury,1918,Yes,1,Daily,Daily,Yes,Tank,12362
4,22,159214,Salaried,Minimalist,2169,No,3,Weekly,Rarely,Yes,Tank,10536
1,34,114283,Student,Average,2972,Yes,4,Daily,Weekly,No,Tank,2152
2,12,173112,Student,Luxury,2073,No,4,Daily,Daily,No,Tank,4349
7,67,33423,Student,Luxury,2308,No,2,Rarely,Rarely,No,Direct Supply,10461
5,13,80086,Business,Minimalist,1096,Yes,2,Rarely,Daily,Yes,Well,6173
2,40,87950,Salaried,Minimalist,940,No,1,Rarely,Never,No,Direct Supply,2897
5,43,77714,Salaried,Average,1913,Yes,4,Daily,Weekly,No,Tank,4730
5,1,139778,Retired,Average,2551,Yes,1,Never,Rarely,No,Well,9236
3,32,140229,Retired,Minimalist,1394,No,4,Never,Weekly,No,Direct Supply,14785
6,65,39682,Student,Average,1331,No,4,Daily,Never,Yes,Direct Supply,4983
5,20,183490,Business,Average,1606,No,2,Rarely,Never,No,Well,8275
6,66,191740,Student,Minimalist,871,No,3,Rarely,Weekly,No,Tank,12193
6,62,104592,Business,Minimalist,2978,No,4,Weekly,Daily,No,Direct Supply,3332
5,60,68614,Student,Average,1375,Yes,4,Weekly,Rarely,Yes,Tank,14355
2,35,57673,Salaried,Luxury,2897,No,4,Daily,Rarely,Yes,Tank,8774
4,37,73796,Student,Luxury,2101,No,2,Weekly,Weekly,No,Direct Supply,6188
5,49,130743,Business,Average,1102,Yes,1,Never,Never,No,Direct Supply,6756
2,45,176794,Retired,Average,2762,No,3,Weekly,Rarely,No,Direct Supply,8986
2,79,35803,Salaried,Luxury,2754,No,1,Rarely,Weekly,No,Tank,10728
5,14,29747,Student,Average,1090,Yes,4,Daily,Daily,Yes,Well,2970
1,64,92308,Business,Luxury,2907,No,4,Weekly,Never,No,Well,4438
1,55,122197,Student,Luxury,1344,No,2,Weekly,Weekly,No,Direct Supply,11023
4,43,130158,Retired,Average,2614,Yes,2,Weekly,Rarely,Yes,Direct Supply,5218
7,41,170980,Business,Average,2443,Yes,4,Weekly,Never,No,Tank,4833
3,11,33584,Salaried,Luxury,747,No,2,Rarely,Never,Yes,Direct Supply,14821
3,70,159795,Business,Average,2765,No,2,Rarely,Weekly,No,Tank,13384
3,45,99534,Salaried,Luxury,2502,Yes,2,Never,Daily,Yes,Direct Supply,9827
2,41,169136,Student,Minimalist,1011,No,1,Daily,Rarely,No,Tank,5632
3,24,27134,Student,Minimalist,523,Yes,1,Rarely,Daily,Yes,Well,7791
1,62,185720,Salaried,Minimalist,916,No,1,Weekly,Daily,Yes,Tank,3196
1,12,192798,Salaried,Minimalist,2123,Yes,2,Daily,Weekly,No,Well,13367
3,3,60484,Salaried,Average,1065,Yes,4,Rarely,Never,No,Well,8901
6,51,116056,Student,Average,2189,No,1,Never,Never,Yes,Well,5101
7,20,191024,Business,Average,2286,Yes,1,Rarely,Never,No,Well,9560
4,78,151500,Retired,Average,2297,No,3,Never,Rarely,Yes,Well,14388
1,53,140472,Salaried,Average,1561,Yes,4,Never,Never,Yes,Direct Supply,10473
3,32,104384,Student,Luxury,2538,No,4,Daily,Rarely,Yes,Direct Supply,4920
3,31,40926,Salaried,Luxury,1927,No,2,Weekly,Weekly,No,Direct Supply,3591
6,38,97672,Business,Average,2135,Yes,4,Never,Weekly,No,Tank,9536
1,35,83902,Student,Luxury,2018,Yes,2,Never,Weekly,Yes,Well,5188
2,49,73877,Salaried,Average,1147,Yes,4,Daily,Daily,No,Well,12118
1,19,130254,Salaried,Minimalist,1268,No,3,Weekly,Weekly,Yes,Tank,11621
3,54,30347,Business,Minimalist,1183,Yes,1,Weekly,Rarely,No,Direct Supply,9255
2,56,68507,Business,Average,572,Yes,4,Daily,Daily,No,Direct Supply,11214
7,24,29221,Retired,Minimalist,998,No,3,Never,Never,Yes,Direct Supply,2401
6,29,91550,Business,Minimalist,1729,Yes,3,Daily,Weekly,Yes,Direct Supply,9214
7,40,98020,Business,Luxury,1003,Yes,1,Weekly,Weekly,No,Direct Supply,9480
7,11,29644,Salaried,Minimalist,957,No,4,Rarely,Weekly,No,Tank,6695
6,28,60003,Student,Minimalist,2423,No,3,Weekly,Daily,Yes,Well,4453
4,12,65676,Business,Luxury,2900,Yes,2,Never,Rarely,No,Tank,7946
4,49,86903,Retired,Luxury,2759,Yes,3,Rarely,Weekly,No,Well,9908
2,46,42869,Business,Minimalist,2523,No,2,Weekly,Never,No,Tank,6563
6,75,32836,Retired,Minimalist,2633,No,1,Never,Daily,No,Well,6551
6,67,174685,Salaried,Luxury,2656,No,4,Daily,Weekly,Yes,Direct Supply,8567
5,37,40983,Retired,Average,2877,No,2,Daily,Daily,No,Direct Supply,13651
7,42,82989,Student,Minimalist,1271,Yes,4,Weekly,Daily,Yes,Tank,5328
4,46,78214,Student,Minimalist,1293,Yes,3,Weekly,Daily,No,Tank,13195
1,46,115243,Business,Luxury,2117,No,2,Daily,Rarely,Yes,Well,14402
6,5,71782,Retired,Minimalist,1540,No,3,Rarely,Daily,Yes,Direct Supply,5089
2,2,137068,Business,Minimalist,2944,No,2,Never,Daily,Yes,Tank,10384
7,41,46384,Business,Minimalist,2209,Yes,1,Rarely,Daily,No,Direct Supply,6089
2,67,131227,Student,Minimalist,1480,Yes,4,Daily,Never,No,Direct Supply,4292
4,58,81357,Student,Luxury,1949,No,2,Never,Never,No,Tank,12700
1,22,109465,Salaried,Average,1017,Yes,3,Never,Never,Yes,Well,5042
4,53,156120,Business,Minimalist,1966,Yes,1,Daily,Rarely,No,Tank,4512
6,47,161174,Student,Luxury,2393,No,1,Rarely,Weekly,No,Well,8187
4,66,127483,Student,Average,917,Yes,3,Rarely,Daily,Yes,Direct Supply,7026
4,33,110794,Business,Minimalist,1589,Yes,4,Daily,Never,Yes,Tank,2939
2,71,143664,Student,Minimalist,1460,No,3,Never,Rarely,Yes,Tank,9515
3,42,130353,Business,Luxury,2456,Yes,1,Rarely,Never,Yes,Direct Supply,14733
1,49,47022,Student,Luxury,2163,No,1,Never,Weekly,Yes,Well,4173
4,79,157088,Retired,Minimalist,1854,No,1,Never,Rarely,No,Tank,7306
